iso,country,displacements_absolute,displacements_per_100k,dominant_hazard
VUT,Vanuatu,80000,26046.3,cyclone
FJI,Fiji,36135,3908.1,cyclone
TON,Tonga,2700,2581.3,cyclone
TUV,Tuvalu,200,1923.3,cyclone
SLB,Solomon Islands,321,46.7,cyclone
PNG,Papua New Guinea,3935,40.1,flood
WSM,Samoa,55,26.0,flood
