iso,country,adaptation_finance_coverage_pct,adaptation_need_pct_gdp,atoll
TUV,Tuvalu,148,32.7,True
NRU,Nauru,43,28.3,False
TON,Tonga,39,23.6,False
PNG,Papua New Guinea,38,11.5,False
PLW,Palau,38,14.7,False
VUT,Vanuatu,36,23.0,False
KIR,Kiribati,34,34.3,True
WSM,Samoa,25,21.3,False
FSM,Micronesia,24,30.1,False
SLB,Solomon Islands,19,27.9,False
MHL,Marshall Islands,13,35.7,True
FJI,Fiji,11,17.1,False
