place,emissions_pathway,year,slr_p17_cm,slr_p50_cm,slr_p83_cm
Kiribati,Higher,2090,52.9,69.2,95.2
Kiribati,Higher,2100,58.3,82.6,117.2
Vanuatu,Lower,2020,2.1,5.1,8.4
Vanuatu,Lower,2030,5.5,9.6,14.3
Vanuatu,Lower,2040,8.1,13.6,20.2
Vanuatu,Lower,2050,12.8,19.2,27.5
Vanuatu,Lower,2060,16.3,23.8,34.0
Vanuatu,Lower,2070,20.8,29.7,42.2
Vanuatu,Lower,2080,23.9,34.7,50.4
Vanuatu,Lower,2090,27.1,39.8,58.5
Vanuatu,Lower,2100,29.2,46.0,68.5
Vanuatu,Middle,2020,1.0,4.9,8.9
Vanuatu,Middle,2030,4.8,9.4,14.5
Vanuatu,Middle,2040,8.8,14.3,20.9
Vanuatu,Middle,2050,14.6,20.8,29.2
Vanuatu,Middle,2060,18.9,26.6,37.2
Vanuatu,Middle,2070,23.8,33.7,47.9
Vanuatu,Middle,2080,29.5,41.8,59.4
Vanuatu,Middle,2090,34.8,49.4,71.1
Vanuatu,Middle,2100,36.7,56.1,83.1
Vanuatu,Higher,2020,2.0,5.0,8.4
Vanuatu,Higher,2030,6.8,10.2,14.4
Vanuatu,Higher,2040,11.0,16.2,22.7
Vanuatu,Higher,2050,16.7,23.7,32.8
Vanuatu,Higher,2060,23.3,31.6,43.3
Vanuatu,Higher,2070,30.6,41.8,57.8
Vanuatu,Higher,2080,38.9,52.8,73.3
Vanuatu,Higher,2090,49.9,66.4,91.8
Vanuatu,Higher,2100,60.4,82.4,114.5
Tonga,Lower,2020,2.9,5.6,8.6
Tonga,Lower,2030,7.0,10.8,15.1
Tonga,Lower,2040,10.1,15.2,21.6
Tonga,Lower,2050,14.6,21.2,29.4
Tonga,Lower,2060,19.0,26.4,36.6
Tonga,Lower,2070,23.8,33.0,45.7
Tonga,Lower,2080,27.1,38.2,54.0
Tonga,Lower,2090,31.0,44.0,62.7
Tonga,Lower,2100,33.4,50.2,72.3
Tonga,Middle,2020,2.5,5.5,8.7
Tonga,Middle,2030,6.8,10.4,14.7
Tonga,Middle,2040,11.3,15.8,21.5
Tonga,Middle,2050,16.9,22.8,30.8
Tonga,Middle,2060,21.7,29.1,39.6
Tonga,Middle,2070,27.6,37.2,51.1
Tonga,Middle,2080,33.3,45.8,63.2
Tonga,Middle,2090,39.3,53.8,75.2
Tonga,Middle,2100,44.0,62.6,89.1
Tonga,Higher,2020,3.3,5.7,8.4
Tonga,Higher,2030,7.7,11.6,16.0
Tonga,Higher,2040,12.8,18.0,24.6
Tonga,Higher,2050,19.5,26.2,35.2
Tonga,Higher,2060,26.6,35.0,46.8
Tonga,Higher,2070,34.3,45.8,61.9
Tonga,Higher,2080,43.3,57.8,78.5
Tonga,Higher,2090,54.6,71.8,97.3
Tonga,Higher,2100,65.2,86.7,118.6
Marshall Islands,Lower,2020,3.3,6.0,9.1
Marshall Islands,Lower,2030,7.2,10.9,15.3
Marshall Islands,Lower,2040,11.8,16.4,22.5
Marshall Islands,Lower,2050,17.3,23.2,31.3
Marshall Islands,Lower,2060,22.2,28.9,39.1
Marshall Islands,Lower,2070,27.5,35.9,48.7
Marshall Islands,Lower,2080,31.6,42.3,58.6
Marshall Islands,Lower,2090,36.3,48.8,68.1
Marshall Islands,Lower,2100,39.2,55.9,79.0
Marshall Islands,Middle,2020,3.6,6.0,8.6
Marshall Islands,Middle,2030,7.5,11.0,15.3
Marshall Islands,Middle,2040,12.4,16.8,22.6
Marshall Islands,Middle,2050,18.9,24.4,32.4
Marshall Islands,Middle,2060,24.5,31.3,41.7
Marshall Islands,Middle,2070,31.2,39.7,53.6
Marshall Islands,Middle,2080,37.8,48.8,66.0
Marshall Islands,Middle,2090,44.2,57.7,79.4
Marshall Islands,Middle,2100,49.0,67.0,93.6
